symbol,name,current,percent,market_capital,pe_ttm
RNXT,RenovoRx,16.02,107.7821,134317543,
GSAT,全球星,2.35,64.3357,4213550000,
AFRM,Affirm Holdings,99.59,46.6716,26400641647,
KPLT,Katapult Holdings,5.09,40.6077,492822020,
SPRT,在线赞助,36.39,38.2074,882016308,
BBIG,Vinco,7.06,33.2075,462884911,
VALN,Valneva SE,51,32.4675,2703807432,
AAMC,Altisource资产管理,17.75,25.4417,36486208,0.613
ATIF,亚洲时代,3.38,22.8242,30965498,
ANY,Sphere 3d,6.4,22.6054,126405248,
MTL-,Mechel PAO American Depositary Shares (each representing one-half of a Preferred Share),1.7,22.3022,471773800,0
SQL,SeqLL,5.51,21.3656,60351956,
EDN,恩普雷萨电力,7.45,21.1382,325965147,
CREG,中国循环能源,8.45,19.8582,55629113,9.936
RPHM,Reneo,9.46,19.7468,230874393,
IHC,独立控股,49.9,18.7812,730755011,7.59
APOP,Cellect生物科技,4.97,18.6158,19491028,
BGFV,Big 5体育用品,28.1,18.1169,630009587,5.846
DISCB,探索传播B,50.83,18.0172,25707049255,18.588
DSPG,DSP集团,21.99,17.8457,537841469,
MTL,车里雅宾斯克钢铁,3.39,17.7083,705578911,64.685
DQ,大全新能源,64,17.4959,4704869120,11.506
GRIN,Grindrod Shipping,18.09,17.2391,349318334,
CYBN,Cybin,2.73,16.6667,429850553,
IRCP,IRSA Propiedades,2.85,16.3265,385626620,2.303
DNAY,Codex DNA,13.61,15.8298,398660622,
RHE,Regional Health,8.31,15.5772,14348088,
IRDM,铱星通讯,46.88,15.4111,6185093204,
AQST,Aquestive疗法,4.66,15.3465,181210927,
ZEV,Lightning eMotors,8.65,15.3333,634896904,
METX,美联国际教育,0.655,14.7512,69643292,
SYPR,Sypris科技,3.88,14.1176,84244287,18.663
SKYT,SkyWater Technology,31.2,13.9934,1218663982,
CNTB,康乃德生物,20.65,13.9625,1187461214,
MDIA,MediaCo Holding,9.99,13.9111,84242823,
RSKD,Riskified,32.75,13.2434,5162235060,
WKEY,WISeKey,8.03,13.0986,160208144,
INMB,INmune Bio,22.6,12.8308,400103439,
GOTU,高途,2.69,12.5523,687500621,
BLIN,Bridgeline数字,5.47,12.5514,45913041,
EDU,新东方,2.25,12.5,3856992458,9.812
ASTS,AST SpaceMobile,12.36,12.4659,2243707141,
MKTW,MarketWise,8.28,12.3474,2642109879,
PRTC,Puretech Health,53.44,12.3397,1527842867,255.279
DBTX,Decibel Therapeutics,8.14,12.2759,202672439,
LIZI,荔枝,4.77,11.9718,238958678,
RNLX,Renalytix AI,30.2,11.8104,1087914019,
NSYS,诺泰克电子,12.92,11.7647,34371464,
VRPX,Virpax,19.92,11.6592,98793499,
GLBE,Global-E Online,81.19,11.5554,11548214966,2950.489
NXTP,NextPlay,2.03,11.5385,176813818,
AXAS,Abraxas石油,2.05,11.41,17264916,
ENOB,Enochian Biosciences,7.69,11.288,399510157,
UROY,Uranium Royalty,2.77,11.245,229287456,
IRNT,IronNet,14,11.1994,1403230990,
CALT,Calliditas,26.55,11.0465,662974528,
AUMN,黄金矿产,0.5166,11.0251,84104863,
CEI,Camber能源,0.545,10.9754,56786436,
AEHL,Antelope Enterprise,3.46,10.8974,20437756,
RDHL,Redhill Biopharma,8.59,10.6959,401324912,
VRAR,The Glimpse Group,10.25,10.6911,97922709,
LIVE,Live Ventures,38.78,10.5788,60916943,2.133
SUPV,Grupo Supervielle,2.54,10.4348,232014939,6.765
BLCT,蓝城兄弟,3.6,10.4294,132786281,
JKS,晶科能源,49.08,10.4162,2340081786,89.541
VWTR,Vidler Water,15.29,10.3971,280415955,27.486
DFFN,Diffusion制药,0.6062,10.1981,61774192,
NM-H,Navios Maritime Holdings Inc. Sponsored ADR Representing 1/100th Perp. Preferred Series H%,14.05,10.1961,5901000000,0
GLG,铜道控股,0.8871,10.1851,88252298,
XTLB,Xtl生物制药,5.09,9.9352,26883145,
NM-G,Navios Maritime Holdings Inc. Sponsored ADR Representing 1/100th Perpetual Preferred Series G (Marshall Islands),14.25,9.7843,2850000000,0
INVZ,Innoviz Technologies,7.55,9.7384,999023271,
HRC,希尔罗控股,145.78,9.6915,9594739720,40.399
XOS,Xos,6.62,9.6026,1300837388,
RSVR,Reservoir Media,8.98,9.5122,575341892,
GDS,万国数据,55.99,9.3555,10464393769,
CEPU,Central Puerto,2.93,9.3284,443608519,6.568
RXRX,Recursion,24.6,9.2848,4144692476,
LAIX,流利说,1.06,9.2784,52766099,
EVAX,Evaxion Biotech,6.61,9.2562,126903195,
OPFI,OppFi,7.77,9.1292,854426364,
ELEV,Elevation Oncology,11.75,9.0994,272901235,
BRAG,Bragg Gaming Group,11.12,9.0196,221830656,
LMNL,Liminal BioSciences,2.66,9.0164,79650995,
HUMA,Humacyte,13.3,9.0164,1408932521,
ATER,Aterian,6.62,8.8816,236564158,
RCON,研控科技,3.34,8.7948,89740426,
FGF,FGF基金,5.45,8.7824,27306555,
NAKD,Naked Brand Group,0.7251,8.7269,657353144,
PIRS,Pieris制药,4.99,8.7146,332886453,
OSCR,Oscar Health,15.26,8.6121,3169071027,
GTN.A,格林电视,21.9,8.5771,2098762651,4.95
CHEK,Check-cap,1.07,8.5303,103151878,
MNTX,摩尼综合机械,8.21,8.4544,163434253,143.868
FEIM,高频电子,10.91,8.3416,100643572,148.005
MITQ,Moving iMage技术,3.39,8.3067,35583701,
BMA,Banco Macro S.A. ,19.11,8.272,1221919007,4.767
PSTX,Poseida Therapeutics,10.71,8.1818,667646374,
BLI,Berkeley Lights,36.8,8.1717,2469301859,
VLTA,Volta,9.64,8.0717,1791084767,230.757
